holiday,n,mean_pct,median_pct,share_up
Good Friday,44,0.37522963374936197,0.2017096289871123,0.6818181818181818
Thanksgiving,43,0.22375744017616492,0.24177221579666508,0.6976744186046512
Martin Luther King Jr. Day,29,0.18703016536939357,0.3403270397119629,0.6551724137931034
Independence Day,44,0.16465236086344973,0.24606746897471998,0.6590909090909091
Christmas Day,43,0.1571558623539774,0.12517152775348706,0.6046511627906976
Memorial Day,44,0.09534592868218113,0.11610876249010804,0.5909090909090909
Labor Day,44,0.051461945132709845,0.024520968293606504,0.5454545454545454
Washington's Birthday,44,-0.07535756079035898,-0.09584312280568885,0.45454545454545453
New Year's Day,38,-0.15631675110289675,-0.2986703934058088,0.39473684210526316
