series,months,n_sep,first,last,sep_mean,other_mean,diff,t,dof,p_one_sided,split_year,diff_half1,diff_half2,both_negative,trial,passes_gate
P3-7 STOXX Europe 600,268,22,2004-05-31,2026-08-31,-0.0018957236963554386,0.0051433490915124315,-0.00703907278786787,-0.8079664083428476,25.20535809623893,0.2133349880162061,2015,0.0006485759486204463,-0.014579895453876331,False,P3-7,fail
P3-8 MSCI World (USD),655,54,1972-02-29,2026-08-31,-0.00979000865479136,0.008191670017347235,-0.017981678672138596,-2.7242123644797256,60.84394127894109,0.00420102032183542,1999,-0.01463303077870607,-0.021362410117828974,True,P3-8,PASS
report: S&P 500 on the STOXX window,268,22,2004-05-31,2026-08-31,-0.0038374714946613838,0.009232200864211374,-0.013069672358872757,-1.295875911014669,24.290495157289605,0.10359859795725657,2015,0.0012807936108491418,-0.027083758908225716,False,report,
report: S&P 500 on the MSCI World window,655,54,1972-02-29,2026-08-31,-0.009069436228375017,0.009058425703353688,-0.018127861931728703,-2.818419344140912,62.059679876627584,0.00323350060721208,1999,-0.01428963468872992,-0.021989744163653,True,report,
