event_session,closure,holiday,ret
1996-02-16,1996-02-19,Washington's Birthday,-0.005128088831771627
1996-04-04,1996-04-05,Good Friday,-3.052316140295108e-05
1996-05-24,1996-05-27,Memorial Day,0.003713032197670163
1996-07-03,1996-07-04,Independence Day,-0.0017962336720238614
1996-08-30,1996-09-02,Labor Day,-0.008229440186756087
1996-11-27,1996-11-28,Thanksgiving,-0.0012699374897512383
1996-12-24,1996-12-25,Christmas Day,0.005502659562949708
1996-12-31,1997-01-01,New Year's Day,-0.01739070873003956
1997-02-14,1997-02-17,Washington's Birthday,-0.004114245553614282
1997-03-27,1997-03-28,Good Friday,-0.02102466175482287
1997-05-23,1997-05-26,Memorial Day,0.013606079646915514
1997-07-03,1997-07-04,Independence Day,0.014258324608206419
1997-08-29,1997-09-01,Labor Day,-0.004647727916673339
1997-11-26,1997-11-27,Thanksgiving,0.000862421192131313
1997-12-24,1997-12-25,Christmas Day,-0.006846754594518001
1997-12-31,1998-01-01,New Year's Day,-0.000422349891171625
1998-01-16,1998-01-19,Martin Luther King Jr. Day,0.011338686607484494
1998-02-13,1998-02-16,Washington's Birthday,-0.003954525489719307
1998-04-09,1998-04-10,Good Friday,0.00818773597000333
1998-05-22,1998-05-25,Memorial Day,-0.0037411575849695122
1998-07-02,1998-07-03,Independence Day,-0.001863215277621344
1998-09-04,1998-09-07,Labor Day,-0.00852116041982054
1998-11-25,1998-11-26,Thanksgiving,0.003279829005183643
1998-12-24,1998-12-25,Christmas Day,-0.0018477375250889327
1998-12-31,1999-01-01,New Year's Day,-0.002191742326647539
1999-01-15,1999-01-18,Martin Luther King Jr. Day,0.025631353056214
1999-02-12,1999-02-15,Washington's Birthday,-0.019066404129777448
1999-04-01,1999-04-02,Good Friday,0.005713733695466017
1999-05-28,1999-05-31,Memorial Day,0.015943321103852215
1999-07-02,1999-07-05,Independence Day,0.00742962146321724
1999-09-03,1999-09-06,Labor Day,0.0289058572114822
1999-11-24,1999-11-25,Thanksgiving,0.008856319965627302
1999-12-23,1999-12-24,Christmas Day,0.01546514651318942
2000-01-14,2000-01-17,Martin Luther King Jr. Day,0.010671299962722536
2000-02-18,2000-02-21,Washington's Birthday,-0.030376185763956398
2000-04-20,2000-04-21,Good Friday,0.00495286661329386
2000-05-26,2000-05-29,Memorial Day,-0.0025334413910176323
2000-07-03,2000-07-04,Independence Day,0.010270908653456035
2000-09-01,2000-09-04,Labor Day,0.0020359797262652357
