month,n,mean,mean_other,diff,t,p,bonferroni12
1,22,0.008117467488025084,0.004247860449006856,0.0038696070390182276,0.3750705732144859,0.7076079813305152,False
2,22,0.005468894697753291,0.004484724682283195,0.000984170015470096,0.10692354211369753,0.9148496363478278,False
3,22,-0.0034350454760378054,0.005281012014898659,-0.008716057490936464,-0.8387295615056095,0.4016210856844942,False
4,22,0.01924470635035053,0.003252741526359865,0.015991964823990665,1.981426797064042,0.04754343110250869,False
5,23,0.00011209639456851669,0.004983590767825153,-0.004871494373256636,-0.6491237433614985,0.5162583961095057,False
6,23,-0.009333195727526333,0.005870291660919773,-0.015203487388446107,-1.8191183887626912,0.06889337017375396,False
7,23,0.017818899217375398,0.003321319482418793,0.014497579734956606,1.9923664346882999,0.04633086733089131,False
8,23,-0.007162046859903428,0.005666469522326601,-0.012828516382230029,-1.6430739950634392,0.10036762455393688,False
9,22,-0.0018957236963554386,0.0051433490915124315,-0.00703907278786787,-0.8079664083428476,0.41910992006253256,False
10,22,0.0032469149263024033,0.004683438320380429,-0.0014365233940780253,-0.13331290903861448,0.8939459187907111,False
11,22,0.01204651206968775,0.0038964824782890565,0.008150029591398694,0.8625551898412602,0.3883820765892083,False
12,22,0.011321529805202043,0.003961318290560136,0.0073602115146419065,0.9130490551670617,0.36121674224255873,False
