window,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D10_minus_D1,t_plain
"[-30,-1]",-0.01326555089642712,-0.011000070147581887,-0.004360398825038658,-0.0010660166204380407,-0.0016642738703260954,-0.00017258041833229334,0.005178455043412884,0.0036898482719639808,0.005627537399431552,0.010448830700667834,0.023714381597094953,9.10532139373315
"[0,1]",-0.005920785533833448,-0.003880802803898764,-0.001552993511274242,-0.0015738803035704398,-0.0014570377092564231,0.0005979113362633444,0.001444676939495701,0.001770268046374195,0.0024760639007337854,0.00243183943947502,0.00835262497330847,6.571136691191438
"[2,60]",-0.0030328194413373447,-0.008512922370460169,-0.004553157524767831,-0.006711827707501499,-0.00719538766324537,-0.005945611451928634,-0.002766899692252403,-0.004802902099146323,-0.0003981090709930321,0.0006273040303267362,0.0036601234716640806,1.0823112529890413
