,q05,q10,q50,q90,q95
-90,-0.005004632192053698,-0.0038134924248305353,0.000275937226607476,0.00439412287517107,0.005620216111589334
-89,-0.0067432698380261715,-0.004875123598525712,0.0006431493403419778,0.006485234858138382,0.008223979130521749
-88,-0.008296304291918969,-0.005986800611739775,0.001114038109564982,0.007923084667883776,0.010120123188553997
-87,-0.009092253471185951,-0.006796686661855321,0.0014089783305578725,0.0095322838805151,0.011808742702223127
-86,-0.010185108529163598,-0.007539403815165612,0.0016425259290145334,0.0104986030205782,0.013459084017711724
-85,-0.01064940175279651,-0.0077485761973981005,0.002084721708613799,0.011553983061491673,0.01455712979987211
-84,-0.01094851152715812,-0.007914745086142611,0.0024481909032303406,0.01256834946766016,0.01605582499975172
-83,-0.011734574059390717,-0.007952781551616923,0.002646449262620621,0.013408613833161163,0.017320696998326727
-82,-0.011907731920978947,-0.008552200254882318,0.002961369222523269,0.01465965971419745,0.018147233088581564
-81,-0.012507849501368382,-0.009062125045271138,0.0032817806633423713,0.015833748796236786,0.020389806761076032
-80,-0.013233689210718248,-0.009380157309645086,0.0036747331316008226,0.016571667935280237,0.021166047090894126
-79,-0.014001789446578476,-0.010060406015581813,0.003744123015777645,0.01760630865329654,0.0217907472076712
-78,-0.01526327801002582,-0.010522333781669235,0.004204185698277907,0.018245601417832772,0.022877981030387066
-77,-0.01564579990555231,-0.010704349335410925,0.0044835908952725,0.01873931918582428,0.023796295900156493
-76,-0.016591840328074477,-0.010334077843869003,0.004664191220908857,0.020199746474283662,0.024285677811826438
-75,-0.016050610560652837,-0.010915015976552535,0.005018128343948521,0.020786744301345538,0.025325214827374754
-74,-0.016701669503493142,-0.011523000197271196,0.005294875567505746,0.02177961462546392,0.02655121997152553
-73,-0.016879599680630575,-0.011596585347992606,0.005352123795606158,0.022411689516257566,0.0279946358198483
-72,-0.01767815357467748,-0.012247925743382182,0.005825685542023194,0.023069134273118897,0.02837692713764155
-71,-0.019079717021875636,-0.012317827374749117,0.0061133002816858815,0.02397347767235908,0.02922075672929655
-70,-0.01924917012002483,-0.012670036395303255,0.00664961319297952,0.0246797078099178,0.030220688214616948
-69,-0.018954182329413483,-0.012945177546803311,0.006908517389073075,0.02594481832074298,0.03186273194088451
-68,-0.019106253039198346,-0.013476654741359933,0.007325188026746767,0.02618654220257069,0.03264616984904096
-67,-0.020797062291874308,-0.014151207182968285,0.007645001211160711,0.027107117083628222,0.03265195122023577
-66,-0.020663525029876978,-0.013261033185392528,0.007922366189656402,0.027538325383231362,0.034047896021434605
-65,-0.02066060021386531,-0.013269051102589859,0.007835208630510501,0.028034380365450265,0.03482539226848065
-64,-0.021014308223664686,-0.014146824781715861,0.008243601021799031,0.029208175237012007,0.03548955230696425
-63,-0.021438332836632976,-0.0139292119785036,0.008582179226281298,0.029899749187323806,0.03672376512977621
-62,-0.021661197370027484,-0.014292697690031591,0.008871921322310392,0.030067599843505453,0.037208260130225
-61,-0.022400330665079016,-0.014103437225695677,0.00934480432168868,0.030752275734955793,0.03789927712232623
-60,-0.022600480228185317,-0.014113763598104182,0.009359417482444335,0.03126633467130534,0.038281493627879
-59,-0.021660559257644135,-0.01375041598400288,0.009728416674583368,0.03188550724462734,0.04011092805613933
-58,-0.02269695736257477,-0.013777813161671601,0.010130505533852564,0.03266191872542023,0.039976297370587735
-57,-0.021865784461310572,-0.014053220161173116,0.010360965450751117,0.033611103028683496,0.04073608531832984
-56,-0.021615565847708663,-0.014037983216995108,0.010592153603480575,0.0340602438074798,0.0417216575943157
-55,-0.02183094846778172,-0.01334621431916852,0.010959543821606823,0.03458962362674348,0.042877812073288384
-54,-0.022476500849686123,-0.013656541901786052,0.011313939063945698,0.035614251356400256,0.044373024023630823
