scope,n,mean_x,mean_y,diff,t,dof,p,p_placebo
all holidays in the set,373,0.0011464271259689432,0.0004018834845358376,0.0007445436414331056,1.6123299317331194,418.1643516996457,0.05382229424538169,0.10584470776461177
"7 holidays, no year-end",292,0.001436440625319542,0.0004018834845358376,0.0010345571407837043,1.9315614481398462,317.24019639804254,0.027152067094550106,
half 1  1983-2004,180,0.0007632029919525397,0.00043365563736693155,0.00032954735458560813,0.49795039393500184,197.45870038049807,0.30953656398840806,
half 2  2005-2026,193,0.0015038382354142935,0.0003694534356829751,0.0011343847997313185,1.7571640837548015,220.22007292927776,0.04013972936343446,
legibility,155,0.003031309442829781,0.00010084726262610647,0.0029304621802036745,5.789094635323412,171.09980886470095,1.6542790181178392e-08,
