sample,n_events,d10_d1_car_m30_m1,t_m30_m1,d10_d1_car_0_1,t_0_1,d10_d1_car_2_60,t_2_60,ct_alpha_daily,ct_alpha_annual,ct_t_nw,ct_p_one_sided,ct_alpha_h1_annual,ct_t_h1,ct_alpha_h2_annual,ct_t_h2,long_only_d10_alpha_annual,long_only_t,dropped,legibility,P3-11
gated,26409,0.000942471425635215,0.8398487860844257,0.006878936624685907,6.607330568326177,-0.041188282003134256,-9.707371269472883,2.3874514451243455e-05,0.006016377641713351,0.4149020919303196,0.33910678918453574,-0.004871347340875347,-0.2960525867621996,0.015396972266047738,0.6444825797616752,0.009645578498465398,0.6066559174001864,{},FAIL,uninterpretable
ungated,34211,0.0026724682975544025,1.1104048128874855,0.010848087138559963,9.190527611983036,-0.0412729286858552,-9.99492733192217,7.643959766862206e-05,0.01926277861249276,1.2897555171674024,0.09856777851198495,0.01346266799265452,0.8164225688462933,0.023722454251220167,0.9435266384003974,0.038419207058101555,2.1961541721895683,{},FAIL,uninterpretable
