month,n,mean,mean_other,diff,t,p,bonferroni12
1,61,0.013547466651821563,0.0062816283400247835,0.0072658383117967795,1.0708237387679773,0.28424869092151805,False
2,62,0.007643465655732361,0.0068115873111410825,0.0008318783445912786,0.1318193841367756,0.8951271540211887,False
3,62,0.010792446089488768,0.006523202101550393,0.004269243987938375,0.5591083400629613,0.5760877832201001,False
4,62,0.013559660240879682,0.006269779239827738,0.007289881001051944,0.972189673144168,0.3309561970978505,False
5,62,0.006438918562774353,0.006921900338856587,-0.0004829817760822336,-0.06716992814997613,0.9464464249001658,False
6,62,0.006639000049993229,0.0069035767757730255,-0.0002645767257797964,-0.042375025295032315,0.9661997373889084,False
7,62,-0.0006987417477712455,0.007575570854741117,-0.008274312602512362,-1.4022110162417591,0.1608522429717738,False
8,62,-0.003461143093933746,0.007828552957343885,-0.011289696051277632,-1.3791502914854175,0.16784842058750948,False
9,61,-0.003608593674976732,0.007825167690960914,-0.011433761365937645,-1.6050735226346209,0.1084776254072446,False
10,61,0.004038111105187308,0.007137189827258841,-0.0030990787220715327,-0.35752102473400565,0.7207017894028709,False
11,61,0.012945655216792761,0.006335773616627671,0.00660988160016509,0.8355612900635122,0.40340175344984486,False
12,61,0.014859261084024087,0.0061636055371275065,0.00869565554689658,1.2810270550443907,0.2001841633164756,False
