scope,n,mean_x,mean_y,diff,t,dof,p,p_placebo
all holidays in the set,252,0.0017298536594584754,0.0002420753291603096,0.001487778330298166,3.0686453106442393,276.1349319916831,0.0011820643650431962,0.013899305034748262
"5 holidays, no year-end",168,0.002213006424990419,0.0002420753291603096,0.0019709310958301095,3.250090652469171,177.41463531552512,0.0006901828743182418,
half 1  1984-2004,124,0.0018942893217898794,0.0003152581266157748,0.0015790311951741046,2.1689673901274453,133.6220529818535,0.01592752251831897,
half 2  2005-2026,128,0.0015705566115749277,0.00017121753181088614,0.0013993390797640416,2.1675361238803093,141.74776016301684,0.01593198945692757,
