,q05,q10,q50,q90,q95
-90,-0.005253912681640595,-0.003902721934624002,0.00031154250780208076,0.004351032954963919,0.0060592235910215675
-89,-0.007117477630066806,-0.005290756296231027,0.0007776240727876277,0.006706926012973458,0.008379172095265624
-88,-0.00846488825201878,-0.006302035974903476,0.0010436340759831012,0.008202375875050679,0.010478384626006094
-87,-0.009645963022919408,-0.006982970651484199,0.0015357880297008724,0.009678740572929561,0.012104834890073168
-86,-0.01070189070172168,-0.007815410062754241,0.001713761002839547,0.011186285393684183,0.014121058054836825
-85,-0.011141446945692966,-0.008200357308733188,0.002089858309852778,0.012029115341086855,0.015112087436947516
-84,-0.011518457568993916,-0.008579996211505151,0.002622164566533404,0.013013044728619645,0.0160552758952303
-83,-0.012059305501802918,-0.008573495236122018,0.002865028826365537,0.014038934275316392,0.01795563635072808
-82,-0.012771985033530586,-0.009303772387865143,0.0030500343732004034,0.015006773716003376,0.019189212985433534
-81,-0.014023313596846032,-0.009983918017824335,0.0034761997734170103,0.01660124437186628,0.020200076282458738
-80,-0.014350021343149326,-0.010200236365155588,0.00375881311595117,0.01747261742459069,0.02155705144010984
-79,-0.015152731860787302,-0.010888136149607014,0.004507067209552587,0.018078869176794906,0.022574297873833367
-78,-0.015331927280399194,-0.010341809732873247,0.004526693953891016,0.01893666835971818,0.02360267727089677
-77,-0.016486459442367346,-0.010710469081807582,0.004855087225376939,0.01956968191006705,0.023743243685718833
-76,-0.016983027959009786,-0.011382830091439861,0.005117497255488592,0.020671528834860273,0.025312497131057682
-75,-0.016926689303258715,-0.011635758425482635,0.005156365514015039,0.02087530755324208,0.026638867911261733
-74,-0.017619190401064567,-0.011797914472491674,0.005614623139868394,0.021673198044289164,0.027409137948861007
-73,-0.018044251709053903,-0.012400321872813633,0.005721092330283746,0.022599845143070334,0.028779675194826965
-72,-0.019080512331173072,-0.012780996108164588,0.006040404894951501,0.023729061613313687,0.029657637305907827
-71,-0.019337067354270873,-0.012971373704847819,0.006229846712729123,0.024663617387300784,0.03061578114102041
-70,-0.01960998207437769,-0.013112415222053973,0.006591904712771268,0.025693481065313536,0.03105081007724828
-69,-0.020412638509459367,-0.013896137392670921,0.006971978984753477,0.02615977724023853,0.03323587307784322
-68,-0.020714656284104443,-0.014228834542141713,0.006968904682971641,0.026806534216724822,0.033987126628370806
-67,-0.02098009993213199,-0.01471590190999813,0.006997270471256339,0.028367904982430005,0.03468062044408677
-66,-0.021714710724497946,-0.014495824635635778,0.00727970812877371,0.028617463097066545,0.03615634662531055
-65,-0.021727853122447727,-0.014477486458097617,0.007935157067341238,0.029756879149937365,0.03667261338336377
-64,-0.022399871983783223,-0.015027154769684446,0.008142011385815565,0.03060855087869201,0.038269314682703136
-63,-0.021940338995894877,-0.015090595938111262,0.008337397963497561,0.03129129994768291,0.03803246795622138
-62,-0.022942164134979244,-0.015007839446016552,0.008417889453061825,0.03181675514044338,0.03890526610949562
-61,-0.022563969540636598,-0.014580167909051906,0.008241750223886004,0.03274965510053331,0.0390315314791987
-60,-0.021889919166652373,-0.014715673505692056,0.008300459220679032,0.03315631475653403,0.03983638194825726
-59,-0.023458176427282672,-0.01503912345153511,0.009166145656231407,0.03384728575312733,0.040868712281948535
-58,-0.023155428425306213,-0.015116083615134305,0.009538872949898747,0.03449558257878166,0.04180290754565924
-57,-0.0231820105496564,-0.015130922853153749,0.00980854436738974,0.034802183224656995,0.04156603073748868
-56,-0.023597673203435303,-0.014761604494329207,0.009944607667633906,0.03576193006588239,0.04269936346576954
-55,-0.02240911751039565,-0.015266456770360839,0.010586996507853408,0.036218588193297284,0.0439887002301011
-54,-0.02372950742404607,-0.014440468977333294,0.0109653161852083,0.03700122635146677,0.04463350202223426
-53,-0.02321983820640638,-0.015133420048675366,0.011233440478604423,0.037388889463583264,0.046442696000015285
-52,-0.024244616791508588,-0.01534655679203171,0.01131880652211098,0.03809296410147515,0.0471745553946423
-51,-0.02479445951708366,-0.015457928437027368,0.011683828181515171,0.039469163185444585,0.04807376229006585
-50,-0.024615120612402605,-0.015443205427717684,0.011689222767704472,0.03981659774149354,0.04819370836660527
-49,-0.025281349614277627,-0.015484197858168146,0.01227978165439537,0.04010155676016619,0.04870721537800446
-48,-0.025736052245554177,-0.015192895409309763,0.012351516413121908,0.04102640704347463,0.050043855965532534
-47,-0.025151231290343055,-0.015161547762315339,0.01249136518552102,0.0417785557247088,0.05058170950588101
-46,-0.02495821397171373,-0.015580934137393513,0.013310968071825111,0.04228857112268566,0.05001479501088338
-45,-0.02469453406712298,-0.015585655771267623,0.013517600899606411,0.0427281002413573,0.052511670279066114
-44,-0.025594448513146274,-0.0151911027282939,0.014067232389100511,0.043389086697365714,0.052875992556413405
-43,-0.024915574550739006,-0.015326098481208833,0.014487484872385511,0.04455647625849255,0.05356893631201321
-42,-0.024295887451851027,-0.014601328359213468,0.014736364813093455,0.045152927871966494,0.05423732098683877
-41,-0.025157027034005016,-0.014749792935699117,0.015004227670000944,0.044854661742397745,0.05580976189995949
-40,-0.02489515149766765,-0.014841126238950135,0.015320483974704199,0.04579691033368931,0.05590680151095425
-39,-0.024181673566843274,-0.014414729934374806,0.015494453732908042,0.0471125225888175,0.05639503846894968
-38,-0.024451016588643952,-0.014278039116468962,0.01593982735836632,0.04752015077277965,0.05690529212739383
-37,-0.02418258111692686,-0.014826619626813095,0.01644572526430949,0.04828872570775833,0.058245607468958856
-36,-0.02375167400787945,-0.013639469122360831,0.01655644991798784,0.04815368357270762,0.05857969899791859
-35,-0.02372355858373687,-0.014636904201636528,0.0166501601806111,0.049275214847665345,0.058318329583786806
-34,-0.02391291738422094,-0.01467801752048243,0.01693683551543819,0.04934824952051916,0.058824839800199605
-33,-0.02466051794297823,-0.014675586944146007,0.01701704707206147,0.04882373576033528,0.06044409782406884
-32,-0.024601395830942757,-0.014067233905422395,0.01729086233435959,0.05018151118768524,0.06066195159705517
-31,-0.023393190294205717,-0.014210360844211848,0.01739525338863436,0.05059826707522022,0.06147217446919276
-30,-0.02353718777658088,-0.013795603829636972,0.01779081301526768,0.05159568361754776,0.0625467041375336
-29,-0.02293347857302184,-0.013777824056199478,0.0181167514248082,0.05223516846261099,0.06347880872682457
-28,-0.022671759998804865,-0.014059548290713599,0.018338997468777103,0.053200258617605314,0.06425520925485392
-27,-0.023502047137365076,-0.014384580536330287,0.018588157972754586,0.05362451300780751,0.06484073321365096
-26,-0.02451435776406677,-0.013569185927274045,0.01873448073192413,0.05422537317444177,0.06718388112418547
-25,-0.02522076868942424,-0.013883341055305837,0.019298642039753476,0.05480129277750694,0.06767152996842524
