decile,alpha_annualised,beta
1,-0.10253980979295643,0.9853325211847872
2,-0.06858576466870271,0.9866962327052403
3,-0.05442312975226709,0.9765656082423894
4,-0.02586628933227501,0.9586023402443724
5,-0.0066445800693015426,0.9650461330161669
6,0.0254127535818724,0.971253166150108
7,0.03304620728776559,0.9790075642180597
8,0.046328362813736014,0.9968883215422084
9,0.07901925279995606,1.0065953792681022
10,0.09477553600603296,0.9855087499374698
