year,summer,winter,diff
1928,0.09772153443928011,0.19649447273599963,0.09877293829671951
1929,-0.06900543094350298,0.031055901111672446,0.10006133205517542
1930,-0.319678682988771,-0.10920899192124156,0.21046969106752944
1931,-0.3088137707283546,-0.4410354982623559,-0.1322217275340013
1932,0.19382506504778707,0.1249999828722288,-0.06882508217555827
1933,0.1443167465455184,0.16741071357296722,0.023093967027448814
1934,-0.15774374880619768,0.05334838717010437,0.21109213597630205
1935,0.3426724565387065,0.10513646995233206,-0.23753598658637443
1936,0.2512708038816278,-0.04643060117903586,-0.29770140506066367
1937,-0.2483262232454596,-0.20809721207415,0.040229011171309614
1938,0.34662581143986015,-0.17008350479436762,-0.5167093162342278
1939,0.17383344606409157,-0.049883113571982385,-0.22371655963607395
1940,-0.09105821943287906,-0.1597472487614715,-0.06868902932859244
1941,0.020408117273868376,-0.19368422658819917,-0.21409234386206755
1942,0.22193209440330075,0.23824792496865155,0.016315830565350797
1943,0.02760998193367281,-0.003358519090301715,-0.030968501023974526
1944,0.07666384635093437,0.16118939457424997,0.0845255482233156
1945,0.12196761774471687,0.126726766287927,0.004759148543210134
1946,-0.20895522539807543,-0.017520230876581055,0.19143499452149437
1947,0.05829906624949155,0.003240391190645564,-0.055058675058845985
1948,0.06589150438801084,-0.10848484617291088,-0.1743763505609217
1949,0.0904147432992064,0.11970062714190233,0.029285883842695926
1950,0.08741657473302422,0.14848947857504546,0.06107290384202124
1951,0.022737415155725582,0.016564915079336773,-0.006172500076388809
1952,0.05145800937578038,0.004078318907129841,-0.04737969046865054
1953,-0.0032493875296127905,0.15158920841770263,0.15483859594731542
1954,0.12101910999981857,0.19823228279044147,0.0772131727906229
1955,0.11538464630540135,0.14265472115635225,0.0272700748509509
1956,-0.057875137975263,0.003510308051438038,0.06138544602670104
1957,-0.10231744935372422,0.05796388635695737,0.1602813357106816
1958,0.1816299137609676,0.12195593411699224,-0.05967397964397536
1959,-0.0012154834978078677,-0.05476358659266556,-0.05354810309485769
1960,-0.01802463787913755,0.2232627515492429,0.24128738942838046
1961,0.0506814471248247,-0.04925684563574051,-0.0999382927605652
1962,-0.1336602957010279,0.2349611197175776,0.3686214154186055
1963,0.06031517049291346,0.07363865411340442,0.013323483620490961
