month,n,mean,mean_other,diff,t,p,bonferroni12
1,42,0.004931861778742237,0.005508671494888877,-0.0005768097161466396,-0.0774383953632242,0.9382747973883698,False
2,43,0.007981493534779742,0.00522970278592848,0.002751790748851262,0.4314987738339608,0.6661057439866802,False
3,43,0.001199998999033354,0.005852788822332529,-0.0046527898232991746,-0.7112878355018915,0.4769058881155508,False
4,43,0.019145526197253543,0.0042039476481370835,0.01494157854911646,2.8681214598416966,0.004129169823732459,True
5,43,0.0005218392465389424,0.005915098372241203,-0.00539325912570226,-0.8417131962028577,0.39994850992373565,False
6,43,-0.00747565696015582,0.006649911057899056,-0.014125568018054875,-2.5287776483746733,0.011446051472048913,False
7,43,0.012112654304322438,0.0048501303220602416,0.007262523982262196,1.1754014028916926,0.23983416250263945,False
8,43,-0.00023565278370024775,0.005984696998951214,-0.006220349782651461,-0.9170046442462074,0.3591402064747733,False
9,42,-0.008059706742518161,0.006672095541568912,-0.014731802284087074,-1.851572102879301,0.06408729207368902,False
10,42,0.00513432530160052,0.005490540433140375,-0.00035621513153985453,-0.03806900731394724,0.9696326619702005,False
11,42,0.00889750635749154,0.00515353914455312,0.0037439672129384195,0.5908184545436517,0.5546420684980613,False
12,42,0.021499499415944905,0.004025002452751326,0.01747449696319358,3.420472464152094,0.0006251246385802212,True
