scope,n,mean_x,mean_y,diff,t,dof,p,p_placebo
all holidays in the set,209,0.0013602587586457582,0.0002420753291603096,0.0011181834294854485,2.1075271145843844,225.1864189921523,0.018089007363708727,0.07104644767761611
"5 holidays, no year-end",125,0.0017612483021745451,0.0002420753291603096,0.0015191729730142356,2.1369353503980313,129.55738781833782,0.017241224285712106,
half 1  1984-2004,103,0.0016368288113502282,0.0003152581266157748,0.0013215706847344534,1.5950064146436458,108.70375632700832,0.05680710031421229,
half 2  2005-2026,106,0.001091516160263113,0.00017121753181088614,0.0009202986284522268,1.3721156769370417,116.22795865992022,0.08633493098997293,
