holiday,n,mean_pct,median_pct,share_up
Early May Bank Holiday,41,0.3460441660239202,0.2400734735732657,0.6829268292682927
Christmas Day,5,0.2635736288349322,0.217221252782962,0.8
Summer Bank Holiday,43,0.1710136617245162,0.1736531418184306,0.6976744186046512
Boxing Day + Christmas Day,37,0.14114143690411549,0.11280887698836839,0.7297297297297297
Spring Bank Holiday,41,0.011565988196265569,0.04131091447019397,0.5365853658536586
New Year's Day,42,-0.003007072169342833,-0.007258280073757506,0.47619047619047616
