series,months,n_sep,first,last,sep_mean,other_mean,diff,t,dof,p_one_sided,split_year,diff_half1,diff_half2,both_negative,trial,passes_gate
P3-9 FTSE 100,511,42,1984-02-29,2026-08-31,-0.008059706742518161,0.006672095541568912,-0.014731802284087074,-1.851572102879301,46.14222585598955,0.035246320803523204,2005,-0.022769264741232868,-0.006785005617031985,True,P3-9,fail
P3-10 Nikkei 225,739,61,1965-02-28,2026-08-31,-0.003608593674976732,0.007825167690960914,-0.011433761365937645,-1.6050735226346209,71.72477593996581,0.05643601284726456,1996,-0.014455831740986653,-0.008373967494605138,True,P3-10,fail
report: S&P 500 on the FTSE window,511,42,1984-02-29,2026-08-31,-0.008881256205050576,0.01008394657229619,-0.018965202777346764,-2.54059862017614,47.44739797360532,0.007197683556269151,2005,-0.0243459105704359,-0.013620854933614833,True,report,
report: S&P 500 on the Nikkei window,739,61,1965-02-28,2026-08-31,-0.0064149440834118075,0.008229208985022761,-0.014644153068434569,-2.4877703976172203,70.70603398875123,0.007607244227501394,1996,-0.01347206295759113,-0.015830209964062494,True,report,
