,mean,mean,median,median,count,count
party,D,R,D,R,D,R
cycle_year,,,,,,
1,0.12884873757263712,0.006704735056564835,0.2312855326147094,-0.08177206840314027,13,12
2,0.03699835276361189,0.03639125232479681,0.010620422212785918,0.059759885755312436,13,12
3,0.15416782670941445,0.12231168372337428,0.1889064731726422,0.1727104194507032,13,11
4,0.10810334233327762,0.022436469403935896,0.1296987975516375,0.04464263175974903,13,11
