month,n,mean,mean_other,diff,t,p,bonferroni12,diff_1928_1976,diff_1977_2026,same_sign_halves,passes_gate
1,99,0.01213040229207562,0.0060521781431272055,0.006078224148948415,1.2169086377016978,0.22363897882550932,False,0.011933315134883148,0.0003291253684856339,True,False
2,99,-0.0010751285275184149,0.00725599725099075,-0.008331125778509165,-1.841990667027671,0.06547651505863517,False,-0.007591822426126508,-0.009064477667989767,True,False
3,99,0.004224607546626095,0.006772872139259345,-0.0025482645926332495,-0.4777758813457619,0.6328097292684771,False,-0.005116128053064346,-3.9105176110137974e-05,True,False
4,99,0.013572403819535016,0.005920724965209635,0.007651678854325382,1.2155774180897472,0.22414594076654537,False,0.004489273806895924,0.010743766885770533,True,False
5,99,0.0012751508442274348,0.007041745264063641,-0.0057665944198362065,-0.9630802034153683,0.33550727561791893,False,-0.013779983476147919,0.002081615469300236,False,False
6,99,0.007857778417701956,0.006441671479741378,0.0014161069379605776,0.26095798614865456,0.7941249070795213,False,0.006102915552565989,-0.0031875571341606814,False,False
7,99,0.016741398007559447,0.005631838754699121,0.011109559252860326,1.881309722282503,0.05992979925541908,False,0.017396658838885602,0.004936904253805146,True,False
8,99,0.0069763796566353654,0.006522019985584466,0.0004543596710508994,0.07327881501821183,0.9415842495361426,False,0.006451832638924374,-0.005434343601264529,False,False
9,99,-0.01109776547262842,0.00816966304985437,-0.01926742852248279,-3.241412095912523,0.001189391095376191,True,-0.021044329838387697,-0.01753378523582157,True,True
10,98,0.005471777404819433,0.006658087492805268,-0.001186310087985835,-0.18936946990400022,0.8498032510083176,False,-0.0015895212492057203,-0.0007577084294086399,True,False
11,98,0.010073234672703811,0.006243236699564542,0.0038299979731392696,0.7076579086674979,0.4791577221009815,False,-0.006717825623520437,0.014389380159455734,False,False
12,98,0.012655578315481192,0.006010421909323343,0.006645156406157849,1.6231981069970445,0.10454706239544498,False,0.009465614694297589,0.003854581976153318,True,False
