event_session,closure,holiday,ret
1999-05-28,1999-05-31,Spring Bank Holiday,0.004306830439954945
1999-08-27,1999-08-30,Summer Bank Holiday,-0.0013627574310893786
1999-12-24,1999-12-27,Christmas Day,0.004382628404037581
1999-12-30,2000-01-03,New Year's Day,0.013794861586024387
2000-04-20,2000-04-21,Easter Monday + Good Friday,0.009102862432327274
2000-04-28,2000-05-01,Early May Bank Holiday,0.023967132577691785
2000-05-26,2000-05-29,Spring Bank Holiday,-0.00227892267656582
2000-08-25,2000-08-28,Summer Bank Holiday,0.001021838540872455
2000-12-22,2000-12-25,Boxing Day + Christmas Day,-0.0029433406916851146
2000-12-29,2001-01-01,New Year's Day,-0.00011251370525211524
2001-04-12,2001-04-13,Easter Monday + Good Friday,-0.003714517654714644
2001-05-04,2001-05-07,Early May Bank Holiday,0.01812411175203188
2001-05-25,2001-05-28,Spring Bank Holiday,-0.004411855860831926
2001-08-24,2001-08-27,Summer Bank Holiday,0.013972000804919782
2001-12-24,2001-12-25,Boxing Day + Christmas Day,0.003527621790638369
2001-12-31,2002-01-01,New Year's Day,-0.004768808268293845
2002-03-28,2002-03-29,Easter Monday + Good Friday,0.01094973962766388
2002-05-03,2002-05-06,Early May Bank Holiday,0.005604839383207105
2002-08-23,2002-08-26,Summer Bank Holiday,-0.010124786039078848
2002-12-24,2002-12-25,Boxing Day + Christmas Day,0.0013208858344109231
2002-12-31,2003-01-01,New Year's Day,0.010203508099026815
2003-04-17,2003-04-18,Easter Monday + Good Friday,0.008897779370943049
2003-05-02,2003-05-05,Early May Bank Holiday,0.01868508496566701
2003-05-23,2003-05-26,Spring Bank Holiday,-0.002681356013500835
2003-08-22,2003-08-25,Summer Bank Holiday,0.0005682259604000706
2003-12-24,2003-12-25,Boxing Day + Christmas Day,0.0008557483961177947
2003-12-31,2004-01-01,New Year's Day,0.0014540086215983905
2004-04-08,2004-04-09,Easter Monday + Good Friday,0.004699353074083756
2004-04-30,2004-05-03,Early May Bank Holiday,-0.006593606524504914
2004-05-28,2004-05-31,Spring Bank Holiday,-0.005141885629965093
2004-08-27,2004-08-30,Summer Bank Holiday,0.008127752330816973
2004-12-24,2004-12-27,Christmas Day,0.00217221252782962
2004-12-31,2005-01-03,New Year's Day,-0.0012033552937148473
2005-03-24,2005-03-25,Easter Monday + Good Friday,0.0024641776427363205
2005-04-29,2005-05-02,Early May Bank Holiday,0.002400734735732657
2005-05-27,2005-05-30,Spring Bank Holiday,-0.0017217757761701646
2005-08-26,2005-08-29,Summer Bank Holiday,-0.005251459678173087
2005-12-23,2005-12-26,Boxing Day + Christmas Day,-0.00026800071466859254
2005-12-30,2006-01-02,New Year's Day,-0.0034584893807506623
2006-04-13,2006-04-14,Easter Monday + Good Friday,0.004766047624836567
2006-04-28,2006-05-01,Early May Bank Holiday,-0.006089092795998341
2006-05-26,2006-05-29,Spring Bank Holiday,0.019955228488647503
2006-08-25,2006-08-28,Summer Bank Holiday,0.0016186467843330998
2006-12-22,2006-12-25,Boxing Day + Christmas Day,0.0010187758928343893
2006-12-29,2007-01-01,New Year's Day,-0.003236692086604709
2007-04-05,2007-04-06,Easter Monday + Good Friday,0.005121939506123052
2007-05-04,2007-05-07,Early May Bank Holiday,0.01007990342221099
2007-05-25,2007-05-28,Spring Bank Holiday,0.0007768026283223595
2007-08-24,2007-08-27,Summer Bank Holiday,0.0037438389643384973
2007-12-24,2007-12-25,Boxing Day + Christmas Day,0.0070250239109141965
2007-12-31,2008-01-01,New Year's Day,-0.0030878970343146683
2008-03-20,2008-03-21,Easter Monday + Good Friday,-0.009088268439163216
2008-05-02,2008-05-05,Early May Bank Holiday,0.021060272933128843
2008-05-23,2008-05-26,Spring Bank Holiday,-0.015254997327391662
2008-08-22,2008-08-25,Summer Bank Holiday,0.025213194558731056
2008-12-24,2008-12-25,Boxing Day + Christmas Day,-0.009257495851444975
2008-12-31,2009-01-01,New Year's Day,0.009447492010560055
2009-04-09,2009-04-10,Easter Monday + Good Friday,0.014826124359158088
2009-05-01,2009-05-04,Early May Bank Holiday,-0.0001178217067624443
2009-05-22,2009-05-25,Spring Bank Holiday,0.004556392748245264
2009-08-28,2009-08-31,Summer Bank Holiday,0.008111882530122072
2009-12-24,2009-12-25,Boxing Day + Christmas Day,0.005584096594691834
2009-12-31,2010-01-01,New Year's Day,0.0027788584952246342
2010-04-01,2010-04-02,Easter Monday + Good Friday,0.011497253955335074
2010-04-30,2010-05-03,Early May Bank Holiday,-0.011481363210234186
2010-05-28,2010-05-31,Spring Bank Holiday,-0.0013089568665488605
2010-08-27,2010-08-30,Summer Bank Holiday,0.008883256663129169
2010-12-24,2010-12-27,Christmas Day,0.002134688293896847
2010-12-31,2011-01-03,New Year's Day,-0.01190756952876404
2011-04-21,2011-04-22,Easter Monday + Good Friday,-0.0006641980854036333
2011-04-28,2011-05-02,Early May Bank Holiday,0.00028010068497130725
2011-05-27,2011-05-30,Spring Bank Holiday,0.009845247805432722
2011-08-26,2011-08-29,Summer Bank Holiday,-0.00023390604152284666
2011-12-23,2011-12-26,Boxing Day + Christmas Day,0.010207109274784631
2011-12-30,2012-01-02,New Year's Day,0.0009880003220825717
2012-04-05,2012-04-06,Easter Monday + Good Friday,0.0034889707399348158
2012-05-04,2012-05-07,Early May Bank Holiday,-0.01933548331976709
2012-05-25,2012-05-28,Spring Bank Holiday,0.00026165909388553565
2012-08-24,2012-08-27,Summer Bank Holiday,0.0
2012-12-24,2012-12-25,Boxing Day + Christmas Day,0.0023906052714646187
2012-12-31,2013-01-01,New Year's Day,-0.004657929947535333
2013-03-28,2013-03-29,Easter Monday + Good Friday,0.0037729502924099823
2013-05-03,2013-05-06,Early May Bank Holiday,0.009410714450364566
2013-05-24,2013-05-27,Spring Bank Holiday,-0.0063463148428375415
2013-08-23,2013-08-26,Summer Bank Holiday,0.007011152026118461
2013-12-24,2013-12-25,Boxing Day + Christmas Day,0.002335833472305815
2013-12-31,2014-01-01,New Year's Day,0.0026444065017507956
2014-04-17,2014-04-18,Easter Monday + Good Friday,0.006242156701775192
2014-05-02,2014-05-05,Early May Bank Holiday,0.0019826991428311125
2014-05-23,2014-05-26,Spring Bank Holiday,-0.0007037933466294
2014-08-22,2014-08-25,Summer Bank Holiday,-0.0003541600477784401
2014-12-24,2014-12-25,Boxing Day + Christmas Day,0.0017731664218920695
2014-12-31,2015-01-01,New Year's Day,0.0029173816490377646
2015-04-02,2015-04-03,Easter Monday + Good Friday,0.0035244878478595254
2015-05-01,2015-05-04,Early May Bank Holiday,0.003649096627789783
2015-05-22,2015-05-25,Spring Bank Holiday,0.0025950232141584983
2015-08-28,2015-08-31,Summer Bank Holiday,0.009027762006419637
2015-12-24,2015-12-25,Boxing Day + Christmas Day,0.0021791536061928074
2015-12-31,2016-01-01,New Year's Day,-0.005068502649587803
2016-03-24,2016-03-25,Easter Monday + Good Friday,-0.014937667757818573
2016-04-29,2016-05-02,Early May Bank Holiday,-0.012732506839714164
2016-05-27,2016-05-30,Spring Bank Holiday,0.0008138929754115676
2016-08-26,2016-08-29,Summer Bank Holiday,0.003109946693688581
2016-12-23,2016-12-26,Boxing Day + Christmas Day,0.0006370598801723748
2016-12-30,2017-01-02,New Year's Day,0.003159979301038396
2017-04-13,2017-04-14,Easter Monday + Good Friday,-0.002911947522622138
2017-04-28,2017-05-01,Early May Bank Holiday,-0.004601267350641813
2017-05-26,2017-05-29,Spring Bank Holiday,0.003977267191686229
2017-08-25,2017-08-28,Summer Bank Holiday,-0.0007560445494751988
2017-12-22,2017-12-25,Boxing Day + Christmas Day,-0.0014860342829431383
2017-12-29,2018-01-01,New Year's Day,0.008513807497825931
2018-03-29,2018-03-30,Easter Monday + Good Friday,0.0016891992581413717
2018-05-04,2018-05-07,Early May Bank Holiday,0.008583563339500833
2018-05-25,2018-05-28,Spring Bank Holiday,0.0017623607281336273
2018-08-24,2018-08-27,Summer Bank Holiday,0.0018907082079306914
2018-12-24,2018-12-25,Boxing Day + Christmas Day,-0.00523718893792946
2018-12-31,2019-01-01,New Year's Day,-0.0008761363741832673
2019-04-18,2019-04-19,Easter Monday + Good Friday,-0.0015258258458049623
2019-05-03,2019-05-06,Early May Bank Holiday,0.003985729564459639
2019-05-24,2019-05-27,Spring Bank Holiday,0.006458331532637196
2019-08-23,2019-08-26,Summer Bank Holiday,-0.004657584579952245
