,q05,q10,q50,q90,q95
-90,-0.0038060249230241617,-0.0026370036348483477,0.0003052739735243626,0.0032880929886082836,0.0040863477006688
-89,-0.004786115004205821,-0.0033451442459509853,0.0007375583986070633,0.004697227698954321,0.006048118010617289
-88,-0.005662587648303417,-0.00417506010168952,0.001104439698500923,0.005753190714336909,0.007181835855306525
-87,-0.006371364685754176,-0.004540357318066542,0.0013953259261152739,0.006934744120254721,0.008790163297508058
-86,-0.007058554217100423,-0.004920053955715629,0.0016366770073185698,0.008158323573234413,0.00988615891815989
-85,-0.007734034204728444,-0.0052408123121854885,0.002047500347730773,0.008973075121950901,0.010912449055621882
-84,-0.00798187844442056,-0.005818568891624125,0.0025857378360496287,0.009589545023692806,0.0118986405573308
-83,-0.008274266353119553,-0.005722580347260186,0.0028855947518671068,0.010597455800146496,0.013049820180105703
-82,-0.008539084923972168,-0.005807546231049187,0.0030347491975348385,0.011431417040722364,0.014139953064668307
-81,-0.00887594537613276,-0.005924618836643894,0.0032239545668761482,0.012680122177746063,0.015203105555162693
-80,-0.00914625668057536,-0.0061608070953394906,0.0036178556161519503,0.013168306749876572,0.016019830572234654
-79,-0.00958870001888427,-0.006105787412073647,0.004077333177803635,0.01376072621183729,0.016814252432003147
-78,-0.009710752058499897,-0.0061119080644450015,0.004555165562107196,0.014594276977832067,0.0181013096907365
-77,-0.009541675816475359,-0.0064804208722243585,0.004724441186511041,0.015190850756808599,0.018911439473407295
-76,-0.010067909860501567,-0.006708473526900725,0.0048893185469859705,0.01592044927352196,0.019631286670560896
-75,-0.010411957014344718,-0.006666376858241587,0.005247238600298263,0.016482493903932378,0.02019302958055053
-74,-0.010375455710945527,-0.006562776177186985,0.005433911778190204,0.01728785426214694,0.020646322181074404
-73,-0.010362230340670917,-0.006671963775344025,0.005824350194902706,0.018321627489332575,0.021840117631419163
-72,-0.01018019165732851,-0.006883484100192851,0.0061397557208587306,0.01897277698294171,0.023013125928796018
-71,-0.010541748547366012,-0.006947149515574955,0.006373365099458121,0.019587407948364464,0.023739731002956357
-70,-0.010307503236195933,-0.006935600983517033,0.006641319109348325,0.020348232990355944,0.024700600667913134
-69,-0.010949149414589519,-0.006529394091982762,0.006829720735380731,0.02080963450489756,0.025327546750374543
-68,-0.010899259247167167,-0.006650275195331751,0.00728202364817737,0.022155233546791928,0.026260818395285986
-67,-0.01125127395706735,-0.006781622071888148,0.00745058704859662,0.022450865971032047,0.026921231966756033
-66,-0.011936704741152387,-0.0068387836588508204,0.007858611511371596,0.022969693445554582,0.02764207102999317
-65,-0.011972089297962138,-0.006925692227351109,0.007981084028110586,0.023601774033633727,0.02845866332866801
-64,-0.011789837636393689,-0.006616033569448885,0.008511363228589197,0.024248183134672505,0.028870582952145868
-63,-0.011339111616101757,-0.0069926485574736885,0.008838584283802433,0.024605617226733458,0.02980108482408465
-62,-0.012290466705174457,-0.007243009692884866,0.009016276502237474,0.025261036064293356,0.03044740911453409
-61,-0.011493278217024068,-0.007053906154561296,0.009199155972833634,0.02570491808140186,0.031201417882317034
-60,-0.012359950936874932,-0.0069253496659102895,0.009479658244298228,0.02605006311261871,0.031272514124640584
-59,-0.012060749907382257,-0.006942503735864606,0.009694075997620347,0.02710292210432638,0.032453022747223635
-58,-0.011807072134484259,-0.006901522456780822,0.01000231524860969,0.027326323849499356,0.03343978063319981
-57,-0.01122528343565415,-0.006536630938245892,0.010430592717355806,0.028161563333696182,0.03401748657817564
-56,-0.0116260503956369,-0.006193318912128307,0.010784227977603148,0.02888024612795153,0.0344185924848136
-55,-0.011466615123473892,-0.005987893434678379,0.01101566470955649,0.029035054551961766,0.035084914570327586
-54,-0.011560430634937424,-0.005764118112153947,0.01136917887262531,0.0295972753216171,0.03582398881658167
-53,-0.011277703172042554,-0.005973993686804805,0.011878169325585095,0.030357424081745125,0.037068992705424915
-52,-0.011078935157453153,-0.006185044285788572,0.012128095301100103,0.030913615927232744,0.03689349104015062
-51,-0.010793037277896598,-0.0061092734287414895,0.012329874541392687,0.031287583214756214,0.037828700815317695
-50,-0.011419629275484537,-0.005923129661324514,0.012679232179660695,0.031732354105648855,0.03842061384378861
-49,-0.011959546348280881,-0.0060703362965374786,0.013123971897341002,0.03196589936070295,0.039189869499844765
-48,-0.011629156176847259,-0.006248854716105123,0.013275919753007405,0.03243462039030384,0.03932981428671071
-47,-0.01154684069963438,-0.00636212778397907,0.0138640261168524,0.03361559378670101,0.04042165475102771
-46,-0.011873788043956304,-0.006175397178184188,0.014164815792234801,0.034875903075783844,0.0403204633841275
-45,-0.011940684160806094,-0.006184729020496456,0.014571696161510737,0.035252522011969774,0.04128433102488319
-44,-0.011527470959436065,-0.006044803824574717,0.014864721252073792,0.03574531508549302,0.04228349626854472
-43,-0.011391055548352545,-0.005623877170474407,0.015183379474270602,0.03612136277425155,0.042538550971507584
-42,-0.011312075580045215,-0.005837517262291399,0.01555801721755238,0.03642706745241497,0.04327688308721607
-41,-0.011523275517852904,-0.005525356041843503,0.015788368925798484,0.037426979407024365,0.04362618044515326
-40,-0.011684770529134744,-0.00501140243189297,0.016327185812667646,0.03775120560129657,0.04436820319930513
-39,-0.011693747700557465,-0.005200955475188807,0.01675187287015125,0.038379492123515734,0.04560664891814713
-38,-0.011283206437548793,-0.00479268869456155,0.016754472258148613,0.03889401934499701,0.046643680589448594
-37,-0.01158370569000855,-0.004843451574045092,0.01701677374386275,0.03929582758976177,0.0470518847289808
-36,-0.011022177393033721,-0.00471717201646126,0.017538257169718068,0.039603193361429326,0.04789754030643872
-35,-0.01122244835254759,-0.004184134604085758,0.017927192466261566,0.04022331834556714,0.048091938607796515
-34,-0.011176652923344035,-0.004307779753699735,0.01814374988724621,0.04021022969534939,0.04864860237458518
-33,-0.01022034484064282,-0.003887704944838672,0.018537872454009754,0.04041618681929795,0.048931314903720456
-32,-0.010675387008580624,-0.004267589016875943,0.018608824540320604,0.041452213790912906,0.04985032886231059
-31,-0.010572602696356318,-0.003959384813331328,0.01885633875582303,0.04187810104942721,0.050152305944622416
-30,-0.010993557226129345,-0.00368260525254662,0.019144961545523823,0.042788580932782504,0.05064770978331545
-29,-0.010940721166230747,-0.003585857246166742,0.020016719960217484,0.04314204764104095,0.05117754273109466
-28,-0.010890403226645834,-0.004147838122334541,0.02028865099374421,0.04371159133029944,0.05259725388136424
-27,-0.010661970064133925,-0.0039677736054936,0.020176387038795037,0.04451817603857509,0.052497080447291365
-26,-0.01065202444349276,-0.0035718653898605093,0.020323362070973038,0.04444338826183039,0.05299096352104585
-25,-0.01062120695372997,-0.0032927080461548617,0.020982511641824773,0.044952646404744084,0.053465348477740385
-24,-0.01092599172111844,-0.0024198525301481135,0.02107706738972038,0.045477143559523994,0.05423830064413521
-23,-0.010749739447648328,-0.002808795155697217,0.021122767734973423,0.045448110736635475,0.054580628338653965
-22,-0.010168419182434982,-0.003023532273928828,0.02140430452613607,0.046468449831767254,0.05517699515127404
-21,-0.010474363386754388,-0.002636262769163553,0.021760359935123152,0.046831378532839495,0.05592651800923819
-20,-0.010125003935422436,-0.002199550587685371,0.02206734196258582,0.04791359384607444,0.05665049769730919
-19,-0.01035080767658983,-0.00210571204533651,0.022625372707440028,0.048319586391587975,0.05717007549887661
-18,-0.00984077333993289,-0.0017854123262624724,0.02295066109767275,0.048553261537052264,0.05752227816886568
-17,-0.009619644140381942,-0.001457313215715107,0.02291326943892967,0.0490644809433804,0.0573548324631598
-16,-0.009069688123592073,-0.0013974986624046438,0.023405843195198263,0.0491781057533846,0.05791020580603347
-15,-0.00893937134383356,-0.0008391920643933984,0.023624269019357345,0.050087434535417114,0.058376703316306455
-14,-0.00903353822089409,-0.0007405440247478721,0.02410917622991893,0.04990524195793221,0.05842632738312842
-13,-0.008645097406552813,-0.0005865704135292945,0.024041539404298762,0.05069660181362455,0.058923327222446475
-12,-0.008199755450474666,-0.0006577676773486069,0.024655339488036505,0.051200484135240226,0.0593995808746605
-11,-0.00764188843094458,-0.00034237833717524834,0.025136462761488405,0.05207128975468656,0.05995376568812394
-10,-0.007606009380841983,-0.0002644331816470134,0.02512218279513534,0.05281751309191186,0.0599711162663721
-9,-0.007201803695542523,-0.0001742762207026142,0.02542302573515126,0.05308123277938066,0.060296481749643256
-8,-0.007846659455932437,0.00023131281099652437,0.025792505768840256,0.05329444062772291,0.06160254887654716
-7,-0.007885845670056412,0.0003921068648780085,0.026271956470691575,0.05424104673340208,0.061379213546360896
-6,-0.007374441092153289,4.972229335930954e-05,0.026376847700446498,0.05491677437517871,0.06233878086540174
-5,-0.007173947343936744,0.00038322281370654524,0.02690476908663597,0.05495961331448636,0.06274714158545286
-4,-0.007462593457311238,0.00048092093175225063,0.027050333452426596,0.05509287496953211,0.06366375152291312
-3,-0.007630281142492616,0.000742422963951115,0.02754358032790257,0.05561209034299678,0.06465164417282174
-2,-0.00719294932375049,0.0005299567276870961,0.02782082763733973,0.05583841255456848,0.0661214110656456
-1,-0.006623539597270427,0.000774766497383388,0.02818988335152003,0.05606469188070974,0.0676226541277531
0,-0.006997824660885051,0.0013486132678805765,0.028501926897431057,0.057220214537776086,0.06729106065963812
1,-0.006414135898619116,0.0010203764902113068,0.029231492244063073,0.057770676153434605,0.06777947069312432
2,-0.006269789003150542,0.0014205652605356514,0.029577801493611302,0.05855956212031891,0.06748299601700984
3,-0.006129855839500542,0.0017068161995766403,0.029951077008028036,0.05894962353098516,0.0682415777446189
4,-0.006133532854789447,0.001604135223496199,0.029935449913239903,0.05995832147362397,0.0688050663416111
5,-0.00588941462236324,0.001883026849066019,0.0303201307511985,0.060268217660853066,0.06910636089622389
6,-0.00693363102895321,0.0014717704328009826,0.030455347077115696,0.06099688512299554,0.06930383258490697
7,-0.006496876126321589,0.001753586326398869,0.030705098851633812,0.06115996715443515,0.07009292100254647
8,-0.00581495412994537,0.001965020069095157,0.030885822659283635,0.0614758570414164,0.06964309170486446
9,-0.006094441568466158,0.002401429805955438,0.03148172963671925,0.06252780736736714,0.07117855696844191
10,-0.006456052588195796,0.002294459920252054,0.03170785594768401,0.06274232568837486,0.0710007752139968
11,-0.006250359038879786,0.0023942847189084514,0.03231049489992899,0.06293406559904524,0.07080936165072095
12,-0.006134061459420533,0.0022137592096613625,0.03223733559361594,0.0629894381379053,0.07156454286445851
13,-0.005494152065987516,0.0023952668214682537,0.032612953989574645,0.06406428592111284,0.07269208219737942
14,-0.005613256888828431,0.0029920121716038414,0.032953023581970595,0.0638457951916875,0.0736403174477476
15,-0.0052929161488269125,0.0029535880135916725,0.03348575574599466,0.06437633974187049,0.07361709550067905
16,-0.00566852466636675,0.0034614978276154944,0.033604172943607596,0.0645647130286332,0.07420222870618576
17,-0.005434870610925151,0.003695558168049489,0.03386388091165379,0.06471541651083454,0.07467980201241373
18,-0.005039030192840206,0.004196354714704784,0.03408927020445871,0.06585366444105432,0.0755597265080791
19,-0.004321579533409572,0.0045714442136810555,0.03438288201139636,0.06575238105889297,0.07598374361823926
20,-0.004962848697831899,0.004261259420709946,0.03477699513119608,0.06634488951871108,0.07639744795169545
21,-0.004724500234352523,0.0038928053025344177,0.03503721901254522,0.06669001390485661,0.07772800653636729
22,-0.004894516021236596,0.004418247211619428,0.03515761219176224,0.06725175359280901,0.07912785966471592
23,-0.004300896545023534,0.004537045092764167,0.03576259938046478,0.06770181233922576,0.0794993152192156
24,-0.0037556340035691444,0.004765019166973503,0.03603179020563604,0.06862758460542318,0.08013069537274706
25,-0.004306059568450867,0.00446744399171553,0.0361823656342955,0.06900455373925513,0.08054672709750171
26,-0.0031910035558430803,0.0050503270091553166,0.03634245896268171,0.06936888833085716,0.0805950665574908
27,-0.002562084269385602,0.004887319071012009,0.03661819836751713,0.07047526288357754,0.08102015063113525
28,-0.0022933173287085734,0.005224566272515906,0.03694998623935118,0.07128167805467775,0.08066079321881968
29,-0.002753176323943757,0.00512186281499668,0.03705870837283347,0.07156650871717907,0.08086783464695937
30,-0.0030708686869739647,0.005541629112610235,0.037274235518143156,0.07241950582527082,0.08277310703236712
31,-0.0033789713559375946,0.005914286006290089,0.0376550587980554,0.07229138230569634,0.08300260500034948
32,-0.003711515259271103,0.005809364453352375,0.038293940854523284,0.0728267957252743,0.08299252322427735
33,-0.0031835982236088503,0.006272162940288771,0.03871029280506737,0.0739078054783963,0.08322937244747945
34,-0.002559067638193397,0.006718095401683892,0.03924285215640949,0.07395450655173993,0.08380060582671169
35,-0.002705595447400327,0.007541127443698195,0.03982560534141655,0.07426226218253129,0.08382359962341922
36,-0.0029739687914085563,0.007654631872601864,0.03988604074318751,0.07476996193692023,0.08419159206350668
37,-0.0026082308097556354,0.007421482724665864,0.04024277264087064,0.07560867972579433,0.0857297980637009
38,-0.0027853977483167608,0.00817054673682054,0.040374957506169526,0.07626545251461574,0.08604672848973768
39,-0.002965687944429912,0.008195805474382143,0.04089128416476942,0.07718153963346633,0.08711845379498753
40,-0.0019523005555617556,0.008348739694288813,0.041264706217076626,0.07743761991253574,0.08662600017731954
41,-0.0016304864853132514,0.00834989011691623,0.041744593630242924,0.07806139393412842,0.08738741642896328
42,-0.00250637024250487,0.007913542977887156,0.04200630804970377,0.07744929233393234,0.08739775183676884
43,-0.0014650092751381336,0.00831845219048582,0.042210384657387,0.07846544455245057,0.08763914093270604
44,-0.0007099184336282279,0.00905634294624613,0.042522948171079475,0.07872343151071333,0.08746628577921312
45,-0.0009314084026668348,0.008591519958036182,0.04290444510343079,0.07885716383369609,0.08800694870924798
46,-0.001217308198739907,0.009262026325813383,0.04281869436880363,0.07938248550176198,0.08900624561699559
47,-0.0007955140786900091,0.00897197163322837,0.043102333595219075,0.0805218807771432,0.08896530497574845
48,-0.0005518510384699495,0.00887112497622914,0.04342357229300084,0.08058759725212908,0.089577682584445
49,-0.0003217648328765172,0.00907330619450592,0.04380978147111167,0.08118179375164242,0.08987834280309158
50,-0.0005524206036520571,0.008585895321716207,0.044454271683346896,0.08182515061260012,0.09058521107061483
51,-0.00016914504696622368,0.0086762809949939,0.04488810218738099,0.08173678692913654,0.0907732147744375
52,0.00010883035001679934,0.00884176902915343,0.04484017918966532,0.08273151662840271,0.09132762086925603
53,0.000351281716723792,0.009473079435763171,0.04535728436323984,0.08241529621900723,0.09218393164414711
54,0.0003732110502088515,0.009399652427729555,0.04578312561484916,0.08296700228380269,0.09238506352344432
55,0.0009826225020391152,0.009619156585780499,0.04572044295919491,0.08308288280141844,0.09239312565652368
56,0.0014582081975395588,0.009812280654187414,0.04609778379912852,0.08389434878773545,0.09317227044517254
57,0.0012945046263926412,0.009655472718503621,0.046630728010782024,0.0846134874433124,0.09401723986909379
58,0.0008676526397393108,0.01033070152040005,0.04715916832823076,0.0851163123405286,0.09542163864611375
59,0.0009224364357508388,0.010317162600872756,0.04733246093608432,0.08587688705025205,0.09539430501576203
60,0.0007532480838204229,0.011119612668285322,0.04765936141141217,0.08633544165279546,0.09628693130505148
61,0.0008963143760172241,0.011211017352000887,0.04798984003842316,0.08645292745729102,0.0968424803850651
62,0.001340019199906716,0.011614300807903462,0.048598697735789606,0.08708318466776134,0.09607214930704437
63,0.002076973543991976,0.013243825145274736,0.04888177685374233,0.08657918209547592,0.0978322205572451
64,0.0023595246034096465,0.012942994035217798,0.04926091042536018,0.08716599852379145,0.09751575261059318
65,0.002493802376994578,0.01290221647908846,0.049708551803381185,0.08788177060600562,0.09842662316698106
66,0.0030711989590412082,0.013380797260674813,0.04987735086679168,0.08751287118789756,0.09935003829762887
67,0.0030428535132477133,0.012743298935861338,0.050423200234310794,0.08896367956064907,0.10003831223461519
68,0.003220599616526621,0.012868843975849267,0.05091116018599615,0.08949437792216071,0.10093537461088854
69,0.003410057095401211,0.013728628598576157,0.05102774631705208,0.08892128210307959,0.10083624254330754
70,0.0037601422241745086,0.014077594642400312,0.050999521364396616,0.08930123105902187,0.10118746634855758
71,0.00408266905417702,0.013899871878623125,0.05121798513042068,0.09004527730389622,0.10126852506431479
72,0.0035207388403147273,0.014666838747572332,0.05141354462494287,0.09033034118395376,0.10163098999401235
73,0.004253021018643123,0.014559879741016392,0.05209796851176088,0.0909678200241944,0.10239224775782327
74,0.004656273647706414,0.014424349900165065,0.05243213581372269,0.09077729695538457,0.10225021654703693
75,0.004525441433015471,0.013978274080260474,0.05281103338724116,0.09099192168081816,0.10356242522200668
76,0.004427144659451581,0.014578630045400854,0.052843115465676896,0.09134263296673815,0.1040065493846277
77,0.004487492494846018,0.014769305178407069,0.053447009235845735,0.09177663571465958,0.10362375782121333
78,0.005215728528435897,0.014826168706066789,0.05374374520818429,0.09205376480053919,0.10386915315557486
79,0.004626383831272524,0.015547036046975637,0.05399948047690626,0.09211139022437,0.10438178059895746
80,0.005363049456587579,0.015580214927961635,0.05435875342464575,0.09364857551031908,0.10413775151519619
81,0.004228762993856038,0.015474955132718132,0.05525547017244703,0.09387249494621985,0.10499935540414737
82,0.0055700366973466635,0.01556424857590622,0.054857030451601056,0.09449411113579272,0.10520375417386367
83,0.004451374251577656,0.01579161161590083,0.05558988848169458,0.09544945279525718,0.10620987524314685
84,0.00490216782897888,0.016040253159660775,0.05604814662057083,0.0958267843048911,0.10560340107170464
85,0.005315987003918715,0.01626977414978066,0.056370757509158195,0.09605865533916043,0.10635145128392479
86,0.005465650025961966,0.01591530055324747,0.0562736198360943,0.09604156510344972,0.10566493700136013
