month,n,mean,mean_other,diff,t,p,bonferroni12
1,54,0.008969779045593849,0.006506098410324271,0.0024636806352695776,0.37926739985990277,0.7044893055738446,False
2,55,0.004298053417164827,0.0069302337918714825,-0.002632180374706656,-0.47008225456624686,0.638296251872758,False
3,55,0.006334833469395233,0.006743528953750362,-0.00040869548435512864,-0.06447572712779485,0.9485914338345445,False
4,55,0.019191994173094598,0.005564955889244587,0.01362703828385001,2.551855415176352,0.010715097443738664,False
5,55,0.002519378254380099,0.007093279015126749,-0.00457390076074665,-0.8202431927493579,0.4120774834441132,False
6,55,0.0008117984344413081,0.007249807165287804,-0.006438008730846496,-1.3561085059028126,0.1750646469191972,False
7,55,0.010218806801241369,0.006387498064997799,0.00383130873624357,0.711588007773193,0.4767199352492071,False
8,55,-0.00035460634056049976,0.0073567276029963035,-0.007711333943556803,-1.255204885822881,0.20940439236015074,False
9,54,-0.00979000865479136,0.008191670017347235,-0.017981678672138596,-2.7242123644797256,0.006445504684632564,False
10,54,0.0073599506925966385,0.006650741889628512,0.0007092088029681263,0.0902770096172763,0.9280670892072873,False
11,54,0.015590183500230113,0.005911253417728001,0.009678930082502112,1.518579672516076,0.12886833100061446,False
12,54,0.01543341044532119,0.005925339515839618,0.009508070929481572,2.119408991522007,0.034055917582676676,False
