date,mean,median,std,count
1,0.01213040229207562,0.015485307168313422,0.04696801525894615,99
2,-0.0010751285275184149,0.001962800689843114,0.04192719291794241,99
3,0.004224607546626095,0.009979982939206433,0.05054754457317718,99
4,0.013572403819535016,0.009424743272317793,0.0605891495336522,99
5,0.0012751508442274348,0.01067418170406853,0.0573970254322536,99
6,0.007857778417701956,0.002995760063549291,0.05152554187299509,99
7,0.01674139800755945,0.016223701958536507,0.05654424312275513,99
8,0.0069763796566353654,0.008832768850410178,0.05960724244196742,99
9,-0.01109776547262842,-0.0037938621637528813,0.05696658967324144,99
10,0.005471777404819433,0.010284393477102416,0.05996633465021492,98
11,0.010073234672703811,0.01627034504122382,0.0511158237853471,98
12,0.012655578315481192,0.014788368039748478,0.037079765605774674,98
